Code,DVIS 5 Time Limit,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,Last Stop,*,*,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,helper
NIA2_3,,14.4,1.24,21,65,2.1,0,,,,,,,2.1,90,106,0
NIA2_3,,14.4,1.24,21,70,1.8,3,,,,,,3,5.1,99,117,1
NIA2_3,,14.4,1.24,21,80,1.8,3,,,,,,7,9.1,113,134,0
NIA2_3,,14.4,1.24,21,90,1.8,3,,,,,,10,12.1,127,151,1
NIA2_3,,14.4,1.24,21,100,1.8,3,,,,,,12,14.1,141,168,0
NIA2_3,,14.4,1.24,21,110,1.8,3,,,,,,14,16.1,155,184,1
NIA2_3,,14.4,1.24,21,120,1.8,3,,,,,,17,19.1,169,201,0
NIA2_3,,14.4,1.24,21,130,1.8,3,,,,,,22,24.1,183,219,1
NIA2_3,,14.4,1.24,21,140,1.8,3,,,,,,27,29.1,197,236,0
NIA2_3,,14.4,1.24,21,150,1.8,3,,,,,,31,33.1,211,254,3
NIA2_3,,15.9,1.32,23,45,2.3,0,,,,,,,2.3,68,85,0
NIA2_3,,15.9,1.32,23,50,2,3,,,,,,2,4.3,77,96,1
NIA2_3,,15.9,1.32,23,60,2,3,,,,,,4,6.3,93,116,0
NIA2_3,,15.9,1.32,23,70,2,3,,,,,,9,11.3,108,136,1
NIA2_3,,15.9,1.32,23,80,2,3,,,,,,13,15.3,123,155,0
NIA2_3,,15.9,1.32,23,90,2,3,,,,,,16,18.3,139,175,1
NIA2_3,,15.9,1.32,23,100,2,3,,,,,,18,20.3,154,194,0
NIA2_3,,15.9,1.32,23,110,2,3,,,,,,23,25.3,171,214,1
NIA2_3,,15.9,1.32,23,120,2,3,,,,,1,28,31.3,185,235,0
NIA2_3,,15.9,1.32,23,130,2,3,,,,,2,33,37.3,201,255,3
NIA2_3,,17.5,1.4,25,30,2.5,0,,,,,,,2.5,49,65,0
NIA2_3,,17.5,1.4,25,40,2.2,3,,,,,,2,4.5,67,89,1
NIA2_3,,17.5,1.4,25,50,2.2,3,,,,,,4,6.5,84,111,0
NIA2_3,,17.5,1.4,25,60,2.2,3,,,,,,10,12.5,101,134,1
NIA2_3,,17.5,1.4,25,70,2.2,3,,,,,,15,17.5,117,156,0
NIA2_3,,17.5,1.4,25,80,2.2,3,,,,,,18,20.5,134,179,1
NIA2_3,,17.5,1.4,25,90,2.2,3,,,,,,21,23.5,150,201,0
NIA2_3,,17.5,1.4,25,100,1.9,3,,,,,3,25,30.5,168,225,1
NIA2_3,,17.5,1.4,25,110,1.9,3,,,,,7,35,44.5,203,248,0
NIA2_3,,17.5,1.4,25,120,1.9,3,,,,,9,38,49.5,220,271,3
NIA2_3,,19.1,1.48,27,20,2.7,0,,,,,,,2.7,35,49,0
NIA2_3,,19.1,1.48,27,30,2.4,3,,,,,,1,3.7,55,76,1
NIA2_3,,19.1,1.48,27,40,2.4,3,,,,,,4,6.7,73,101,0
NIA2_3,,19.1,1.48,27,50,2.4,3,,,,,,9,11.7,91,127,1
NIA2_3,,19.1,1.48,27,60,2.4,3,,,,,,15,17.7,109,153,0
NIA2_3,,19.1,1.48,27,70,2.1,3,,,,,1,19,22.7,127,179,1
NIA2_3,,19.1,1.48,27,80,2.1,3,,,,,3,21,26.7,145,204,0
NIA2_3,,19.1,1.48,27,90,2.1,3,,,,,6,25,33.7,164,231,1
NIA2_3,,19.1,1.48,27,100,2.1,3,,,,,9,31,42.7,183,258,0
NIA2_3,,19.1,1.48,27,110,2.1,3,,,,,11,36,49.7,201,284,3
